SpeciesCat_ISSCAAP_code,Species_AFSIS,CommName,Family,Order
34,Platytroctidae,,Platytroctidae,SALMONIFORMES
34,Phosichthyidae,,Phosichthyidae,STOMIIFORMES
34,Stomiidae,,Stomiidae,STOMIIFORMES
38,Rhinoptera spp,,Myliobatidae,RAJIFORMES
33,Polydactylus spp,,Polynemidae,PERCOIDEI
13,C. macropomum x P. brachypomus,"Tambatinga, hybrid",Characidae,CHARACIFORMES
12,Oreochromis aureus x O. niloticus,"Blue-Nile tilapia, hybrid",Cichlidae,PERCOIDEI
13,Hemiodus spp,,Hemiodontidae,CHARACIFORMES
33,Stellifer spp,,Sciaenidae,PERCOIDEI
13,Serrasalmus spp,,Characidae,CHARACIFORMES
13,Semaprochilodus spp,,Curimatidae,CHARACIFORMES
13,Schizodon spp,,Anostomidae,CHARACIFORMES
13,Rhamdia spp,,Pimelodidae,SILURIFORMES
33,Pseudopercis spp,,Pinguipedidae,TRACHINOIDEI
38,Potamotrygon,,Potamotrygonidae,RAJIFORMES
13,Pimelodus spp,,Pimelodidae,SILURIFORMES
37,Oligoplites spp,Leatherjackets nei,Carangidae,PERCOIDEI
37,Odontesthes spp,,Atherinidae,ATHERINIFORMES
24,Lycengraulis spp,Sabretooth anchovys nei,Engraulidae,CLUPEIFORMES
13,Leporinus spp,,Anostomidae,CHARACIFORMES
13,Hypostomus spp,,Loricariidae,SILURIFORMES
13,Hoplosternum spp,,Callichthyidae,SILURIFORMES
13,Hoplias spp,,Erythrinidae,CHARACIFORMES
13,Hypophthalmus spp,,Pimelodidae,SILURIFORMES
33,Gymnothorax spp,,Muraenidae,ANGUILLIFORMES
12,Geophagus spp,,Cichlidae,PERCOIDEI
12,Cichla spp,,Cichlidae,PERCOIDEI
13,Brycon spp,,Characidae,CHARACIFORMES
13,Acestrorhynchidae,,Acestrorhynchidae,CHARACIFORMES
82,Primnoidae,,Primnoidae,ANTHOZOA
82,Paragorgiidae,,Paragorgiidae,ANTHOZOA
82,Chrysogorgiidae,,Chrysogorgiidae,ANTHOZOA
82,Lepidisis spp,,Isididae,ANTHOZOA
76,Gorgonocephalus spp,Gorgons head basket-stars nei,Gorgonocephalidae,OPHIUROIDEA
76,Zoroaster spp,Rat-tail stars nei,Zoroasteridae,ASTEROIDEA
76,Brisingidae,Armless stars,Brisingidae,ASTEROIDEA
13,Pseudoplatystoma spp,Sorubims nei,Pimelodidae,SILURIFORMES
75,Colossendeis spp,Giant sea spiders nei,Colossendeidae,PYCNOGONIDA
82,Actinostolidae,,Actinostolidae,ANTHOZOA
82,Hormathiidae,,Hormathiidae,ANTHOZOA
83,Acanthascus spp,,Rossellidae,HEXACTINELLIDA
44,Uroptychus spp,,Galatheidae,ANOMURA
44,Munida spp,,Galatheidae,ANOMURA
47,Acutiserolis spp,Spiny serolid isopod,Serolidae,ISOPODA
45,Oplophorus spp,,Oplophoridae,NATANTIA
45,Acanthephyra spp,Subantarctic ruby prawn nei,Oplophoridae,NATANTIA
45,Nematocarcinus spp,Spider prawns nei,Nematocarcinidae,NATANTIA
57,Opisthoteuthis spp,Umbrella octopus nei,Opisthoteuthidae,CEPHALOPODA
57,Graneledone spp,,Octopodidae,CEPHALOPODA
77,Thermiphione spp,Thermiphione scaleworms,Polynoidae,POLYCHAETA
77,Eunice spp,Eunice sea-worms,Eunicidae,POLYCHAETA
82,Flabellum spp,Flabellum cup corals nei,Flabellidae,ANTHOZOA
77,Lepidotheca spp,Spiny white hydrocorals nei,Stylasteridae,HYDROZOA
77,Errina spp,Red hydrocorals nei,Stylasteridae,HYDROZOA
82,Isididae,,Isididae,ANTHOZOA
82,Chrysogorgia spp,,Chrysogorgiidae,ANTHOZOA
82,Telesto spp,Long polyp soft corals nei,Clavulariidae,ANTHOZOA
82,Liponema spp,,Liponematidae,ANTHOZOA
82,Bolocera spp,,Actiniidae,ANTHOZOA
82,Ombellula spp,,Ombellulidae,ANTHOZOA
82,Anthoptilum spp,,Anthoptilidae,ANTHOZOA
82,Paramuricea spp,,Plexauridae,ANTHOZOA
82,Stichopathes spp,,Antipathidae,ANTHOZOA
82,Nephtheidae,,Nephtheidae,ANTHOZOA
82,Anthomastus spp,,Alcyoniidae,ANTHOZOA
77,Scyphozoa,,,SCYPHOZOA
44,Paguridae,Right-handed hermit crabs nei,Paguridae,ANOMURA
,Phalacrocoracidae,Cormorants nei,Phalacrocoracidae,CICONIIFORMES
,Anatidae,"Ducks, geese and swans nei",Anatidae,ANSERIFORMES
,Alcidae,,Alcidae,CICONIIFORMES
52,Adelomelon spp,,Volutidae,GASTROPODA
52,Austrofusus spp,,Buccinidae,GASTROPODA
52,Crepipatella spp,,Calyptraeidae,GASTROPODA
56,Darina spp,,Mactridae,BIVALVIA
52,Fusitriton spp,,Ranellidae,GASTROPODA
56,Leukoma spp,,Veneridae,BIVALVIA
56,Lucina spp,,Lucinidae,BIVALVIA
52,Odontocymbiola spp,,Volutidae,GASTROPODA
52,Pareuthria spp,,Buccinidae,GASTROPODA
52,Priene spp,,Ranellidae,GASTROPODA
52,Scurria spp,,Lottiidae,GASTROPODA
52,Trochita spp,,Calyptraeidae,GASTROPODA
56,Rangia spp,,Mactridae,BIVALVIA
56,Pholas spp,,Pholadidae,BIVALVIA
52,Chicoreus spp,,Muricidae,GASTROPODA
56,Asaphis spp,,Psammobiidae,BIVALVIA
56,Venus spp,,Veneridae,BIVALVIA
52,Turbinella spp,,Turbinellidae,GASTROPODA
52,Trophon spp,,Buccinidae,GASTROPODA
56,Trachycardium spp,,Cardiidae,BIVALVIA
52,Thais spp,,Muricidae,GASTROPODA
52,Tegula spp,,Trochidae,GASTROPODA
56,Tagelus spp,,Solecurtidae,BIVALVIA
53,Spondylus spp,Thorny oysters nei,Spondylidae,BIVALVIA
56,Solecurtus spp,,Solecurtidae,BIVALVIA
52,Sinum spp,,Naticidae,GASTROPODA
56,Siliqua spp,,Solenidae,BIVALVIA
56,Scapharca spp,,Arcidae,BIVALVIA
56,Saxidomus spp,Butter clams nei,Veneridae,BIVALVIA
56,Sanguinolaria spp,,Psammobiidae,BIVALVIA
53,Saccostrea spp,,Ostreidae,BIVALVIA
52,Pugilina spp,,Melongenidae,GASTROPODA
81,Pteria spp,Wing oysters nei,Pteriidae,BIVALVIA
51,Polymesoda spp,,Corbiculidae,BIVALVIA
53,Pododesmus spp,,Anomiidae,BIVALVIA
52,Pleuroploca spp,Horse conches nei,Fasciolariidae,GASTROPODA
56,Pitar spp,,Veneridae,BIVALVIA
55,Pinna spp,,Pinnidae,BIVALVIA
52,Phalium spp,,Cassidae,GASTROPODA
56,Petricola spp,,Petricolidae,BIVALVIA
56,Paphies spp,,Mesodesmatidae,BIVALVIA
56,Panopea spp,,Hiatellidae,BIVALVIA
52,Oliva spp,,Olividae,GASTROPODA
56,Noetia spp,,Arcidae,BIVALVIA
52,Nerita spp,,Neritidae,GASTROPODA
52,Natica spp,,Naticidae,GASTROPODA
52,Nassarius spp,,Nassariidae,GASTROPODA
56,Mesodesma spp,,Mesodesmatidae,BIVALVIA
56,Mercenaria spp,,Veneridae,BIVALVIA
52,Melongena spp,,Melongenidae,GASTROPODA
52,Malea spp,,Tonnidae,GASTROPODA
56,Mactrellona spp,,Mactridae,BIVALVIA
56,Macrocallista spp,,Veneridae,BIVALVIA
56,Macoma spp,,Tellinidae,BIVALVIA
56,Lutraria spp,,Mactridae,BIVALVIA
52,Lottia spp,,Lottiidae,GASTROPODA
54,Lithophaga spp,Date mussels nei,Mytilidae,BIVALVIA
56,Laternula spp,,Laternulidae,BIVALVIA
52,Lambis spp,,Strombidae,GASTROPODA
56,Laevicardium spp,Egg cockles nei,Cardiidae,BIVALVIA
53,Isognomon spp,,Isognomonidae,BIVALVIA
56,Iphigenia spp,,Donacidae,BIVALVIA
53,Hyotissa spp,,Gryphaeidae,BIVALVIA
52,Hexaplex spp,,Muricidae,GASTROPODA
56,Gari spp,Sunset clams nei,Psammobiidae,BIVALVIA
56,Galatea spp,,Donacidae,BIVALVIA
56,Fulvia spp,,Cardiidae,BIVALVIA
52,Fissurella spp,,Fissurelidae,GASTROPODA
52,Fasciolaria spp,,Fasciolariidae,GASTROPODA
56,Eurhomalea spp,,Veneridae,BIVALVIA
52,Diodora spp,,Fissurelidae,GASTROPODA
56,Cultellus spp,,Solenidae,BIVALVIA
52,Crucibulum spp,,Crepidulidae,GASTROPODA
52,Crepidula spp,,Crepidulidae,GASTROPODA
56,Codakia spp,,Lucinidae,BIVALVIA
56,Circomphalus spp,,Veneridae,BIVALVIA
56,Chione spp,,Veneridae,BIVALVIA
52,Charonia spp,,Ranellidae,GASTROPODA
52,Cassis spp,,Cassidae,GASTROPODA
56,Cardium spp,,Cardiidae,BIVALVIA
56,Cardiocardita spp,,Carditidae,BIVALVIA
52,Bullia spp,,Nassariidae,GASTROPODA
52,Buccinum spp,,Buccinidae,GASTROPODA
56,Barbatia spp,,Arcidae,BIVALVIA
52,Babylonia spp,,Buccinidae,GASTROPODA
56,Apolymetis spp,,Tellinidae,BIVALVIA
53,Anomia spp,,Anomiidae,BIVALVIA
33,Tetraodon spp,,Tetraodontidae,TETRAODONTIFORMES
